POSTNR,POSTSTAD,POSTNR- OG STAD,BRUKSOMRÅDE,FOLKETAL,BYDEL,KOMMNR,KOMMUNE,FYLKE,LAT,LON,DATAKVALITET,DATAKVALITETSFORKLARING,SIST OPPDATERT
5927,Bjordal (ikkje i bruk),5927 BJORDAL (ikkje i bruk),Historisk,,,1416,Høyanger,Sogn og Fjordane,61.07733,5.83243,6,Usikker plassering,04/10/2018 02:10
5930,Vadheim (ikkje i bruk),5930 VADHEIM (ikkje i bruk),Historisk,,,1416,Høyanger,Sogn og Fjordane,61.20896,5.82379,6,Usikker plassering,04/10/2018 02:10
5931,Manger,5931 MANGER,Postboksar,,,1260,Radøy,Hordaland,60.64063,5.042,1,Koordinatane gjeld postkontoret,11/10/2011 09:57
5934,Kyrkjebø (ikkje i bruk),5934 KYRKJEBØ (ikkje i bruk),Historisk,,,1416,Høyanger,Sogn og Fjordane,61.1636,5.8998,6,Usikker plassering,04/10/2018 02:10
5935,BØVÅGEN,5935 BØVÅGEN,Postboksar,,,1260,Radøy,Hordaland,60.69832,4.92673,6,Usikker plassering,03/10/2018 21:40
5936,Manger,5936 MANGER,Gate-/veg-adresse,2271,,1260,Radøy,Hordaland,60.6406,5.042,5,Koordinatane er retta av ein yr.no-brukar,20/09/2013 00:25
5937,Bøvågen,5937 BØVÅGEN,Gate-/veg-adresse,827,,1260,Radøy,Hordaland,60.69832,4.92673,1,Koordinatane gjeld postkontoret,03/10/2018 21:21
5938,Sæbøvågen,5938 SÆBØVÅGEN,Gate-/veg-adresse,1181,,1260,Radøy,Hordaland,60.6111,5.1448,2,Koordinatane er retta av Erik Bolstad,03/10/2018 21:21
5939,Sletta,5939 SLETTA,Gate-/veg-adresse,621,,1260,Radøy,Hordaland,60.6836,5.051,2,Koordinatane er retta av Erik Bolstad,28/10/2018 12:46
5941,Austrheim,5941 AUSTRHEIM,Postboksar,,,1264,Austrheim,Hordaland,60.7889,4.9295,2,Koordinatane er retta av Erik Bolstad,11/10/2018 02:13
5942,Hyllestad (ikkje i bruk),5942 HYLLESTAD (ikkje i bruk),Historisk,,,1413,Hyllestad,Sogn og Fjordane,61.1711,5.296,6,Usikker plassering,04/10/2018 02:10
5943,Austrheim,5943 AUSTRHEIM,Gate-/veg-adresse,1870,,1264,Austrheim,Hordaland,60.7773,4.9329,2,Koordinatane er retta av Erik Bolstad,11/10/2018 02:13
5944,Sørbøvåg (ikkje i bruk),5944 SØRBØVÅG (ikkje i bruk),Historisk,,,1413,Hyllestad,Sogn og Fjordane,61.22606,5.1743,6,Usikker plassering,04/10/2018 02:10
5947,Fedje,5947 FEDJE,Gate-/veg-adresse,587,,1265,Fedje,Hordaland,60.781,4.7174,2,Koordinatane er retta av Erik Bolstad,17/09/2013 14:08
5948,Fedje,5948 FEDJE,Postboksar,,,1265,Fedje,Hordaland,60.7787,4.7196,2,Koordinatane er retta av Erik Bolstad,0000-00-00 00:00:00
5950,Brekke (ikkje i bruk),5950 BREKKE (ikkje i bruk),Historisk,,,1411,Gulen,Sogn og Fjordane,61.01865,5.46006,6,Usikker plassering,04/10/2018 02:10
5951,Lindås,5951 LINDÅS,Postboksar,,,1263,Lindås,Hordaland,60.73509,5.16174,1,Koordinatane gjeld postkontoret,11/10/2011 09:55
5952,Fonnes,5952 FONNES,Postboksar,,,1264,Austrheim,Hordaland,60.8031,4.994,2,Koordinatane er retta av Erik Bolstad,11/10/2018 02:33
5953,Fonnes,5953 FONNES,Gate-/veg-adresse,1012,,1264,Austrheim,Hordaland,60.80309,4.99369,1,Koordinatane gjeld postkontoret,01/11/2013 10:33
5954,Mongstad,5954 MONGSTAD,Gate-/veg-adresse,193,,1263,Lindås,Hordaland,60.8046,5.0364,3,Koordinatane er kontrollerte av ein yr.no-brukar,20/09/2013 00:26
5955,Lindås,5955 LINDÅS,Gate-/veg-adresse,2318,,1263,Lindås,Hordaland,60.7399,5.1557,5,Koordinatane er retta av ein yr.no-brukar,20/09/2013 00:26
5956,Hundvin,5956 HUNDVIN,Gate-/veg-adresse,477,,1263,Lindås,Hordaland,60.6761,5.2179,2,Koordinatane er retta av Erik Bolstad,11/10/2018 02:33
5957,Myking,5957 MYKING,Gate-/veg-adresse,591,,1263,Lindås,Hordaland,60.7011,5.3226,2,Koordinatane er retta av Erik Bolstad,03/10/2018 21:21
